Dosya_Adi,Koruma_Sira_No,Koruma_Kodu,Koruma_Aciklamasi,Koruma_Durumu,Koruma_Detay_Satiri
7E0A0011,87,50,Ani Akım Koruma,Tespit Edildi,91. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0011,88,46,Faz Sırası/Negatif Sıra Koruma,Açma,92. 46     | Faz Sırası/Negatif Sıra Koruma | Açma
7E0A0011,89,46D,Faz Sırası Koruma - Açma,Açma,93. 46D    | Faz Sırası Koruma - Açma       | Açma
7E0A0011,90,49F,Termal Koruma,Açma,96. 49F    | Termal Koruma                  | Açma
7E0A0011,91,50,Ani Akım Koruma,Açma,97. 50     | Ani Akım Koruma                | Açma
7E0A0011,92,51,Zaman Aşırı Akım Koruma,Açma,98. 51     | Zaman Aşırı Akım Koruma        | Açma
7E0A0011,93,50N,Ani Toprak Koruma,Açma,99. 50N    | Ani Toprak Koruma              | Açma
7E0A0011,94,51N,Zaman Aşırı Toprak Koruma,Açma,100. 51N    | Zaman Aşırı Toprak Koruma      | Açma
7E0A0011,95,59,Aşırı Gerilim Koruma,Açma,101. 59     | Aşırı Gerilim Koruma           | Açma
7E0A0011,96,59G,Toprak Aşırı Gerilim Koruma,Açma,102. 59G    | Toprak Aşırı Gerilim Koruma    | Açma
7E0A0011,97,67,Yönlü Aşırı Akım Koruma,Açma,103. 67     | Yönlü Aşırı Akım Koruma        | Açma
7E0A0011,98,67N,Yönlü Toprak Koruma,Açma,104. 67N    | Yönlü Toprak Koruma            | Açma
7E0A0011,99,67NIEF,Yönlü Toprak Koruma (İnternal),Açma,105. 67NIEF | Yönlü Toprak Koruma (İnternal) | Açma
7E0A0011,100,27,Az Gerilim Koruma,Açma,106. 27     | Az Gerilim Koruma              | Açma
7E0A0011,101,46,Faz Sırası/Negatif Sıra Koruma,Çalışma,107. 46     | Faz Sırası/Negatif Sıra Koruma | Çalışma
7E0A0011,102,49F,Termal Koruma,Çalışma,110. 49F    | Termal Koruma                  | Çalışma
7E0A0011,103,50,Ani Akım Koruma,Çalışma,111. 50     | Ani Akım Koruma                | Çalışma
7E0A0011,104,51,Zaman Aşırı Akım Koruma,Çalışma,112. 51     | Zaman Aşırı Akım Koruma        | Çalışma
7E0A0011,105,50N,Ani Toprak Koruma,Çalışma,113. 50N    | Ani Toprak Koruma              | Çalışma
7E0A0011,106,51N,Zaman Aşırı Toprak Koruma,Çalışma,114. 51N    | Zaman Aşırı Toprak Koruma      | Çalışma
7E0A0011,107,59,Aşırı Gerilim Koruma,Çalışma,115. 59     | Aşırı Gerilim Koruma           | Çalışma
7E0A0011,108,60,Gerilim/Frekans Dengesizlik,Çalışma,116. 60     | Gerilim/Frekans Dengesizlik    | Çalışma
7E0A0011,109,67,Yönlü Aşırı Akım Koruma,Çalışma,117. 67     | Yönlü Aşırı Akım Koruma        | Çalışma
7E0A0011,110,67N,Yönlü Toprak Koruma,Çalışma,118. 67N    | Yönlü Toprak Koruma            | Çalışma
7E0A0011,111,67NIEF,Yönlü Toprak Koruma (İnternal),Çalışma,119. 67NIEF | Yönlü Toprak Koruma (İnternal) | Çalışma
7E0A0011,112,27,Az Gerilim Koruma,Çalışma,120. 27     | Az Gerilim Koruma              | Çalışma
7E0A0011,113,79,Otomatik Kapama/Açma,Çalışma,121. 79     | Otomatik Kapama/Açma           | Çalışma
7E0A0011,114,68,Blok Koruma,Çalışma,122. 68     | Blok Koruma                    | Çalışma
7E0A0011,115,50,Ani Akım Koruma,Tespit Edildi,123. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0012,1,51,Zaman Aşırı Akım Koruma,Tespit Edildi,1. 51     | Zaman Aşırı Akım Koruma        | Tespit Edildi
7E0A0012,2,51,Zaman Aşırı Akım Koruma,Tespit Edildi,2. 51     | Zaman Aşırı Akım Koruma        | Tespit Edildi
7E0A0012,3,60,Gerilim/Frekans Dengesizlik,Tespit Edildi,3. 60     | Gerilim/Frekans Dengesizlik    | Tespit Edildi
7E0A0012,4,51,Zaman Aşırı Akım Koruma,Tespit Edildi,4. 51     | Zaman Aşırı Akım Koruma        | Tespit Edildi
7E0A0012,5,51,Zaman Aşırı Akım Koruma,Tespit Edildi,5. 51     | Zaman Aşırı Akım Koruma        | Tespit Edildi
7E0A0012,6,50,Ani Akım Koruma,Tespit Edildi,6. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0012,7,50,Ani Akım Koruma,Tespit Edildi,7. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0012,8,50,Ani Akım Koruma,Tespit Edildi,8. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0012,9,50,Ani Akım Koruma,Tespit Edildi,9. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0012,10,50,Ani Akım Koruma,Tespit Edildi,10. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0012,11,50,Ani Akım Koruma,Tespit Edildi,11. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0012,12,50,Ani Akım Koruma,Tespit Edildi,12. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0012,13,50,Ani Akım Koruma,Tespit Edildi,13. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0012,14,51,Zaman Aşırı Akım Koruma,Tespit Edildi,14. 51     | Zaman Aşırı Akım Koruma        | Tespit Edildi
7E0A0012,15,50,Ani Akım Koruma,Tespit Edildi,15. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0012,16,50,Ani Akım Koruma,Tespit Edildi,16. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0012,17,50,Ani Akım Koruma,Tespit Edildi,17. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0012,18,50,Ani Akım Koruma,Tespit Edildi,18. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0012,19,50,Ani Akım Koruma,Tespit Edildi,19. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0012,20,50,Ani Akım Koruma,Tespit Edildi,20. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0012,21,50,Ani Akım Koruma,Tespit Edildi,21. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0012,22,50,Ani Akım Koruma,Tespit Edildi,22. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0012,23,51,Zaman Aşırı Akım Koruma,Tespit Edildi,23. 51     | Zaman Aşırı Akım Koruma        | Tespit Edildi
7E0A0012,24,50,Ani Akım Koruma,Tespit Edildi,24. 50     | Ani Akım Koruma                | Tespit Edildi
